"Family","ID","Sex","oTreatment","oActivity","Size","Censored","Lifespan","Treatment","Activity","Block","group"
"xBF","xBF8","F","A","Flight",4.263333333,0,10,"A","Flight","G","impoverished"
"xF","xF5","F","A","Waiting",4.166666667,1,177,"A","Waiting","B","impoverished"
"xI","xI12","M","B","Flight",5.44,1,171,"B","Flight","C","enhanced"
"xBK","xBK8","F","B","Waiting",4.306666667,1,170,"B","Waiting","G","enhanced"
"xD","xD10","F","A","Waiting",4.21,1,169,"A","Waiting","B","impoverished"
"xM","xM14","M","B","Waiting",5.43,1,160,"B","Waiting","C","enhanced"
"xE","xE5","M","B","Flight",5.733333333,1,159,"B","Flight","B","enhanced"
"xG","xG3","F","B","Flight",4.936666667,1,159,"B","Flight","B","enhanced"
"xT","xT10","F","A","Waiting",3.896666667,1,157,"A","Waiting","D","impoverished"
"xG","xG6","F","A","Flight",3.906666667,1,155,"A","Flight","B","impoverished"
"xF","xF10","F","B","Waiting",4.92,1,155,"B","Waiting","B","enhanced"
"xG","xG7","M","B","Flight",5.4,1,153,"B","Flight","C","enhanced"
"xE","xE11","M","A","Flight",4.223333333,1,153,"A","Flight","B","impoverished"
"xAD","xAD7","M","B","Flight",5.56,1,151,"B","Flight","E","enhanced"
"xM","xM10","F","B","Flight",5.57,1,149,"B","Flight","C","enhanced"
"xO","xO2","F","A","Flight",4.023333333,1,149,"A","Flight","C","impoverished"
"xF","xF4","F","A","Flight",4.096666667,1,149,"A","Flight","B","impoverished"
"xE","xE14","F","A","Flight",4.683333333,1,146,"A","Flight","B","impoverished"
"xAK","xAK12","F","B","Waiting",5.34,1,146,"B","Waiting","F","enhanced"
"xAF","xAF8","F","B","Flight",5.193333333,1,145,"B","Flight","E","enhanced"
"xQ","xQ3","M","B","Waiting",5.586666667,1,144,"B","Waiting","D","enhanced"
"xK","xK16","F","B","Waiting",5.29,1,143,"B","Waiting","C","enhanced"
"xAH","xAH14","M","B","Flight",5.296666667,1,142,"B","Flight","F","enhanced"
"xG","xG4","F","B","Flight",5.07,1,142,"B","Flight","B","enhanced"
"xAI","xAI5","F","A","Flight",4.05,1,141,"A","Flight","F","impoverished"
"xJ","xJ2","M","A","Flight",4.456666667,1,140,"A","Flight","C","impoverished"
"xM","xM13","M","B","Waiting",5.243333333,1,140,"B","Waiting","C","enhanced"
"xG","xG2","M","B","Flight",5.086666667,1,139,"B","Flight","B","enhanced"
"xBA","xBA4","M","A","Flight",4.296666667,1,138,"A","Flight","G","impoverished"
"xBK","xBK14","M","A","Flight",5.16,1,138,"A","Flight","G","impoverished"
"xAA","xAA6","F","B","Flight",5.34,1,138,"B","Flight","E","enhanced"
"xN","xN2","F","B","Flight",5.42,1,136,"B","Flight","C","enhanced"
"xN","xN14","M","A","Flight",4.596666667,1,136,"A","Flight","C","impoverished"
"xJ","xJ4","M","A","Flight",4.463333333,1,136,"A","Flight","C","impoverished"
"xK","xK2","M","A","Waiting",4.573333333,1,136,"A","Waiting","C","impoverished"
"xAK","xAK14","F","B","Flight",5.386666667,1,135,"B","Flight","F","enhanced"
"xAJ","xAJ10","F","B","Flight",5.386666667,1,135,"B","Flight","F","enhanced"
"xD","xD7","M","B","Flight",5.656666667,1,135,"B","Flight","B","enhanced"
"xD","xD2","F","B","Waiting",5.036666667,1,135,"B","Waiting","B","enhanced"
"xM","xM3","F","A","Flight",4.06,1,133,"A","Flight","C","impoverished"
"xN","xN17","F","A","Flight",3.953333333,1,133,"A","Flight","C","impoverished"
"xN","xN3","M","B","Flight",5.436666667,1,133,"B","Flight","C","enhanced"
"xI","xI13","M","B","Flight",5.486666667,1,133,"B","Flight","C","enhanced"
"xK","xK15","M","B","Waiting",5.496666667,1,133,"B","Waiting","C","enhanced"
"xK","xK12","F","B","Waiting",5.46,1,133,"B","Waiting","C","enhanced"
"xBI","xBI16","F","B","Flight",5.266666667,1,130,"B","Flight","G","enhanced"
"xM","xM11","M","B","Flight",5.226666667,1,129,"B","Flight","C","enhanced"
"xL","xL4","F","B","Flight",4.75,1,129,"B","Flight","C","enhanced"
"xI","xI8","F","B","Flight",5.143333333,1,129,"B","Flight","C","enhanced"
"xI","xI6","F","A","Flight",4.476666667,1,129,"A","Flight","C","impoverished"
"xK","xK1","M","A","Waiting",4.34,1,129,"A","Waiting","C","impoverished"
"xAX","xAX1","M","A","Flight",4.003333333,1,128,"A","Flight","G","impoverished"
"xD","xD5","M","B","Flight",5.5,1,128,"B","Flight","B","enhanced"
"xAD","xAD5","F","A","Waiting",4.816666667,1,127,"A","Waiting","E","impoverished"
"xQ","xQ10","F","A","Flight",4.883333333,1,126,"A","Flight","D","impoverished"
"xAI","xAI15","F","B","Waiting",5.183333333,1,126,"B","Waiting","F","enhanced"
"xP","xP13","F","A","Flight",3.77,1,125,"A","Flight","C","impoverished"
"xM","xM2","M","A","Flight",3.846666667,1,125,"A","Flight","C","impoverished"
"xH","xH4","M","A","Flight",4.123333333,1,125,"A","Flight","B","impoverished"
"xN","xN9","M","B","Waiting",5.45,1,125,"B","Waiting","C","enhanced"
"xK","xK17","M","B","Waiting",5.366666667,1,125,"B","Waiting","C","enhanced"
"xF","xF9","M","B","Waiting",4.826666667,1,125,"B","Waiting","B","enhanced"
"xAA","xAA1","F","A","Flight",4.426666667,1,124,"A","Flight","E","impoverished"
"xAG","xAG7","M","A","Waiting",4.366666667,1,124,"A","Waiting","F","impoverished"
"xBG","xBG10","M","B","Flight",5.78,1,123,"B","Flight","G","enhanced"
"xBE","xBE12","F","A","Flight",3.723333333,1,123,"A","Flight","G","impoverished"
"xAK","xAK15","M","B","Flight",5.356666667,1,122,"B","Flight","F","enhanced"
"xJ","xJ10","M","B","Flight",5.333333333,1,122,"B","Flight","C","enhanced"
"xL","xL1","M","B","Flight",5.02,1,122,"B","Flight","C","enhanced"
"xT","xT8","M","B","Flight",5.083333333,1,122,"B","Flight","D","enhanced"
"xK","xK3","F","A","Waiting",4.196666667,1,122,"A","Waiting","C","impoverished"
"xAJ","xAJ2","F","A","Waiting",4.29,1,121,"A","Waiting","F","impoverished"
"xBD","xBD6","F","B","Flight",4.963333333,1,120,"B","Flight","G","enhanced"
"xBK","xBK6","F","B","Waiting",3.993333333,1,120,"B","Waiting","G","enhanced"
"xAG","xAG9","F","B","Flight",5.74,1,119,"B","Flight","F","enhanced"
"xN","xN7","M","B","Flight",5.533333333,1,119,"B","Flight","C","enhanced"
"xM","xM5","F","A","Flight",4.09,1,119,"A","Flight","C","impoverished"
"xI","xI7","M","A","Flight",4.123333333,1,119,"A","Flight","C","impoverished"
"xQ","xQ12","M","A","Waiting",4.086666667,1,119,"A","Waiting","D","impoverished"
"xH","xH10","F","B","Flight",4.763333333,1,118,"B","Flight","B","enhanced"
"xAX","xAX4","M","A","Flight",4.003333333,1,117,"A","Flight","G","impoverished"
"xAG","xAG12","M","B","Flight",5.78,1,115,"B","Flight","F","enhanced"
"xD","xD11","M","A","Flight",4.55,1,114,"A","Flight","B","impoverished"
"xE","xE4","M","B","Flight",5.756666667,1,114,"B","Flight","B","enhanced"
"xE","xE7","M","B","Flight",5.516666667,1,114,"B","Flight","B","enhanced"
"xH","xH9","M","B","Flight",5.223333333,1,114,"B","Flight","B","enhanced"
"xJ","xJ7","F","B","Flight",5.52,1,112,"B","Flight","C","enhanced"
"xJ","xJ1","M","A","Flight",4.233333333,1,112,"A","Flight","C","impoverished"
"xO","xO9","M","B","Flight",5.016666667,1,112,"B","Flight","C","enhanced"
"xN","xN15","F","A","Waiting",4.213333333,1,112,"A","Waiting","C","impoverished"
"xE","xE8","M","A","Flight",4.246666667,1,111,"A","Flight","B","impoverished"
"xD","xD15","M","A","Waiting",4.55,1,111,"A","Waiting","B","impoverished"
"xBD","xBD2","F","A","Flight",4.036666667,1,110,"A","Flight","G","impoverished"
"xBK","xBK11","M","A","Flight",5.383333333,1,110,"A","Flight","G","impoverished"
"xBI","xBI8","M","A","Flight",4.386666667,1,110,"A","Flight","G","impoverished"
"xAG","xAG4","F","A","Flight",4.303333333,1,110,"A","Flight","F","impoverished"
"xAK","xAK2","F","A","Flight",4.03,1,110,"A","Flight","F","impoverished"
"xBH","xBH11","F","B","Flight",4.976666667,1,109,"B","Flight","G","enhanced"
"xAG","xAG15","F","B","Flight",5.476666667,1,108,"B","Flight","F","enhanced"
"xAH","xAH15","F","B","Flight",5.366666667,1,108,"B","Flight","F","enhanced"
"xP","xP14","M","A","Flight",3.99,1,108,"A","Flight","C","impoverished"
"xJ","xJ9","F","B","Flight",5.42,1,108,"B","Flight","C","enhanced"
"xI","xI4","F","A","Flight",4.466666667,1,108,"A","Flight","C","impoverished"
"xO","xO1","F","A","Flight",4.22,1,108,"A","Flight","C","impoverished"
"xJ","xJ5","M","A","Flight",4.056666667,1,108,"A","Flight","C","impoverished"
"xBF","xBF5","F","A","Flight",4.153333333,1,107,"A","Flight","G","impoverished"
"xBB","xBB3","M","A","Flight",3.983333333,1,107,"A","Flight","G","impoverished"
"xAX","xAX7","M","A","Waiting",4.376666667,1,107,"A","Waiting","G","impoverished"
"xAD","xAD2","F","A","Flight",3.906666667,1,106,"A","Flight","E","impoverished"
"xE","xE2","M","B","Flight",5.823333333,1,106,"B","Flight","B","enhanced"
"xF","xF3","F","A","Flight",4.043333333,1,106,"A","Flight","B","impoverished"
"xM","xM9","M","B","Flight",5.54,1,105,"B","Flight","C","enhanced"
"xM","xM12","M","B","Flight",5.4,1,105,"B","Flight","C","enhanced"
"xN","xN13","F","A","Flight",4.403333333,1,105,"A","Flight","C","impoverished"
"xM","xM4","M","A","Flight",3.93,1,105,"A","Flight","C","impoverished"
"xP","xP10","M","A","Flight",3.846666667,1,105,"A","Flight","C","impoverished"
"xL","xL3","M","B","Flight",5.27,1,105,"B","Flight","C","enhanced"
"xT","xT3","M","B","Flight",5.406666667,1,105,"B","Flight","D","enhanced"
"xJ","xJ11","F","B","Waiting",5.64,1,105,"B","Waiting","C","enhanced"
"xJ","xJ8","M","B","Waiting",5.606666667,1,105,"B","Waiting","C","enhanced"
"xK","xK13","M","B","Waiting",5.606666667,1,105,"B","Waiting","C","enhanced"
"xO","xO10","M","B","Waiting",5.563333333,1,105,"B","Waiting","C","enhanced"
"xK","xK18","F","B","Waiting",5.503333333,1,105,"B","Waiting","C","enhanced"
"xK","xK10","F","B","Waiting",5.363333333,1,105,"B","Waiting","C","enhanced"
"xK","xK11","M","B","Waiting",5.346666667,1,105,"B","Waiting","C","enhanced"
"xK","xK19","M","B","Flight",5.26,1,105,"B","Flight","C","enhanced"
"xM","xM7","M","B","Waiting",5.153333333,1,105,"B","Waiting","C","enhanced"
"xJ","xJ12","M","B","Waiting",5.116666667,1,105,"B","Waiting","C","enhanced"
"xN","xN16","M","A","Waiting",4.626666667,1,105,"A","Waiting","C","impoverished"
"xK","xK7","M","A","Waiting",4.28,1,105,"A","Waiting","C","impoverished"
"xBF","xBF2","M","A","Waiting",4.33,1,103,"A","Waiting","G","impoverished"
"xAH","xAH7","M","A","Waiting",3.956666667,1,103,"A","Waiting","F","impoverished"
"xT","xT11","M","A","Flight",3.8,1,102,"A","Flight","D","impoverished"
"xT","xT9","M","A","Flight",4.046666667,1,102,"A","Flight","D","impoverished"
"xT","xT4","F","B","Flight",5.043333333,1,102,"B","Flight","D","enhanced"
"xQ","xQ5","M","B","Waiting",4.993333333,1,102,"B","Waiting","D","enhanced"
"xAW","xAW2","F","B","Flight",5.546666667,1,100,"B","Flight","G","enhanced"
"xH","xH5","M","B","Flight",5.083333333,1,100,"B","Flight","B","enhanced"
"xAH","xAH8","F","A","Waiting",4.03,1,100,"A","Waiting","F","impoverished"
"xBG","xBG12","M","B","Flight",5.6,1,99,"B","Flight","G","enhanced"
"xAD","xAD12","F","B","Waiting",5.76,1,99,"B","Waiting","E","enhanced"
"xAD","xAD6","F","A","Waiting",4.963333333,1,99,"A","Waiting","E","impoverished"
"xAJ","xAJ13","M","B","Waiting",5.406666667,1,98,"B","Waiting","F","enhanced"
"xP","xP2","M","B","Flight",4.723333333,1,97,"B","Flight","C","enhanced"
"xN","xN8","F","B","Flight",5.483333333,1,97,"B","Flight","C","enhanced"
"xO","xO7","F","B","Waiting",5.126666667,1,97,"B","Waiting","C","enhanced"
"xZ","xZ6","F","A","Flight",4.306666667,1,96,"A","Flight","E","impoverished"
"xD","xD14","F","A","Flight",4.576666667,1,96,"A","Flight","B","impoverished"
"xF","xF6","F","B","Flight",4.39,1,96,"B","Flight","B","enhanced"
"xF","xF11","M","B","Waiting",5.153333333,1,96,"B","Waiting","B","enhanced"
"xBE","xBE11","M","A","Flight",4.263333333,1,95,"A","Flight","G","impoverished"
"xS","xS1","M","A","Flight",3.91,1,94,"A","Flight","D","impoverished"
"xI","xI5","M","A","Flight",4.59,1,94,"A","Flight","C","impoverished"
"xAF","xAF11","M","B","Waiting",5.346666667,1,94,"B","Waiting","E","enhanced"
"xE","xE13","F","A","Flight",4.44,1,93,"A","Flight","B","impoverished"
"xE","xE9","F","A","Flight",4.44,1,93,"A","Flight","B","impoverished"
"xG","xG5","F","A","Waiting",4.196666667,1,93,"A","Waiting","B","impoverished"
"xE","xE1","M","B","Flight",5.613333333,1,92,"B","Flight","B","enhanced"
"xT","xT7","M","B","Flight",5.023333333,1,91,"B","Flight","D","enhanced"
"xS","xS2","F","A","Waiting",4.226666667,1,91,"A","Waiting","D","impoverished"
"xBE","xBE14","M","A","Flight",4.133333333,1,90,"A","Flight","G","impoverished"
"xN","xN4","F","B","Flight",5.473333333,1,90,"B","Flight","C","enhanced"
"xN","xN1","M","B","Waiting",5.363333333,1,90,"B","Waiting","C","enhanced"
"xK","xK9","M","A","Waiting",4.416666667,1,90,"A","Waiting","C","impoverished"
