Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
xBF,8,F,A,,4.263333333,02/06/2022,,12/06/2022,0,,10,12/06/2022,C,09:20,54,,,,,,,,,,,,Flight,G
xF,5,F,A,0.0994,4.166666667,28/02/2022,21/08/2022,24/08/2022,1,,177,,,,,,,,,,,,,,,,Waiting,B
xI,12,M,B,0.1968,5.44,06/03/2022,21/08/2022,24/08/2022,1,,171,17/03/2022,C,09:11,16,,07/05/2022,G,13:24,120,,08/06/2022,F,14:49,209,,Flight,C
xBK,8,F,B,,4.306666667,03/06/2022,15/11/2022,20/11/2022,1,,170,,,,,,,,,,,,,,,,Waiting,G
xD,10,F,A,0.105,4.21,28/02/2022,13/08/2022,16/08/2022,1,,169,,,,,,,,,,,,,,,,Waiting,B
D1AB,7,F,B,0.1843,4.986666667,21/02/2022,27/07/2022,31/07/2022,1,,160,12/03/2022,E,08:38,10,,27/04/2022,G,12:00,105,,,,,,,Flight,A
D1AA,5,M,B,0.1285,4.92,21/02/2022,27/07/2022,31/07/2022,1,,160,05/03/2022,C,12:15,1,,27/04/2022,D,12:00,105,,,,,,,Flight,A
xM,14,M,B,0.2281,5.43,06/03/2022,09/08/2022,13/08/2022,1,,160,,,,,,,,,,,,,,,,Waiting,C
xE,5,M,B,0.2601,5.733333333,28/02/2022,02/08/2022,06/08/2022,1,,159,16/03/2022,E,10:11,15,,03/05/2022,G,,112,,03/06/2022,C,13:01,204,,Flight,B
xG,3,F,B,0.1944,4.936666667,28/02/2022,02/08/2022,06/08/2022,1,,159,13/03/2022,B,14:09,13,,30/04/2022,D,16:05,109,DAMAGED ELYTRA,02/06/2022,F,,202,,Flight,B
xT,10,F,A,,3.896666667,09/03/2022,09/08/2022,13/08/2022,1,MALFORMED,157,,,,,,,,,,,,,,,,Waiting,D
D1AA,1,M,A,0.0953,4.216666667,18/02/2022,20/07/2022,24/07/2022,1,,156,05/03/2022,B,12:15,1,,27/04/2022,E,12:00,105,,,,,,,Flight,A
xG,6,F,A,0.0845,3.906666667,28/02/2022,31/07/2022,02/08/2022,1,,155,20/03/2022,B,12:56,23,,04/05/2022,F,09:47,114,,02/06/2022,C,,202,,Flight,B
xF,10,F,B,0.1632,4.92,28/02/2022,31/07/2022,02/08/2022,1,,155,,,,,,,,,,,,,,,,Waiting,B
xB,3,M,B,0.2131,5.506666667,28/02/2022,27/07/2022,31/07/2022,1,,153,17/03/2022,F,14:48,17,,01/05/2022,E,10:09,110,,03/06/2022,D,08:42,203,,Flight,B
xG,7,M,B,0.2055,5.4,02/03/2022,31/07/2022,02/08/2022,1,,153,15/03/2022,D,14:00,14,,04/05/2022,D,09:47,114,,01/06/2022,G,,201,,Flight,C
xE,11,M,A,0.0823,4.223333333,28/02/2022,27/07/2022,31/07/2022,1,,153,13/03/2022,G,14:09,13,,03/05/2022,C,15:22,113,,02/06/2022,A,,202,,Flight,B
D1AE,6,F,A,0.1813,4.976666667,18/02/2022,17/07/2022,20/07/2022,1,,152,07/03/2022,A,12:53,4,,20/04/2022,C,10:30,101,,,,,,,Flight,A
xAE,14,F,A,,5.08,15/03/2022,09/08/2022,13/08/2022,1,,151,02/04/2022,A,09:30,44,,20/05/2022,B,12:53,132,,16/06/2022,A,10:30,213,,Flight,E
