Session,Channel,total_distance,total_duration,total_avg_speed,total_peak_speed,marathon_flights,long_flights,medium_flights,short_flights,skip_flights,trial_length
1,A,2.64,9.954853058,0.265197285,0.559827759,0,0,0,0,1,14399.98769
1,B,6883.36,10541.8697,0.652954381,1.45786093,0,1,3,17,3,14399.98769
1,C,0,0,NA,#NAME?,0,0,0,0,0,14399.98769
1,D,1170.4,2105.570596,0.555858826,1.405335618,0,0,1,8,14,14399.98769
1,E,1475.76,3081.256603,0.478947452,1.223734874,0,0,0,12,59,14399.98769
1,F,0,0,NA,#NAME?,0,0,0,0,0,14399.98769
1,G,0,0,NA,#NAME?,0,0,0,0,0,14399.98769
2,A,2060.96,4716.905722,0.436930505,1.161851212,0,0,1,14,18,14399.98968
2,B,2316.16,2622.277796,0.883262637,2.999410453,0,0,2,6,1,14399.98968
2,C,0,0,NA,#NAME?,0,0,0,0,0,14399.98968
2,D,243.76,757.0751736,0.321975952,1.195291591,0,0,0,3,10,14399.98968
2,E,645.04,1154.032783,0.55894426,1.6803896,0,0,1,3,3,14399.98968
2,F,0,0,NA,#NAME?,0,0,0,0,0,14399.98968
2,G,0,0,NA,#NAME?,0,0,0,0,0,14399.98968
3,A,1611.28,6326.892189,0.254671638,2.479341008,0,0,0,40,46,14399.99007
3,B,327.36,894.7774789,0.365856325,1.165376156,0,0,0,4,13,14399.99007
3,C,0,0,NA,#NAME?,0,0,0,0,0,14399.99007
3,D,10313.6,13489.00562,0.764593054,2.759251688,1,0,1,15,12,14399.99007
3,E,86.24,319.3871732,0.270017105,2.99452167,0,0,0,3,1,14399.99007
3,F,0,0,NA,#NAME?,0,0,0,0,0,14399.99007
3,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99007
4,A,671.44,3164.776079,0.21216035,2.912701917,0,0,0,12,66,14399.99873
4,B,146.08,541.1321266,0.269952555,1.677018015,0,0,0,3,13,14399.99873
4,C,0,0,NA,#NAME?,0,0,0,0,0,14399.99873
4,D,2.64,6.189246893,0.426546242,0.60672923,0,0,0,0,1,14399.99873
4,E,0,0,NA,#NAME?,0,0,0,0,0,14399.99873
4,F,0,0,NA,#NAME?,0,0,0,0,0,14399.99873
4,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99873
5,A,4.4,7.04906106,0.624196608,2.105675199,0,0,0,0,1,8703.029483
5,B,21.12,18.57618499,1.136939582,1.230366494,0,0,0,0,1,8703.029483
5,C,1119.36,1690.459984,0.662162968,2.480452356,0,0,2,0,1,8703.029483
5,D,1365.76,1926.839155,0.708808515,2.638451265,0,0,1,0,0,8703.029483
5,E,214.72,534.3110614,0.401863288,2.964920097,0,0,0,1,10,8703.029483
5,F,1117.6,1151.868006,0.970250058,2.990462669,0,0,0,4,10,8703.029483
5,G,1408.88,1974.799694,0.713429319,2.996641672,0,0,1,1,0,8703.029483
6,A,1314.72,4133.396154,0.318072585,0.873718805,0,0,0,14,133,14398.90109
6,B,4886.64,7476.00062,0.653643605,1.504000639,0,0,3,25,44,14398.90109
6,C,2949.76,5393.563291,0.546903752,1.618697275,0,0,2,18,17,14398.90109
6,D,3354.56,4303.331303,0.779526317,1.908124118,0,0,3,4,11,14398.90109
6,E,388.96,642.6190698,0.605273043,1.232360103,0,0,0,1,10,14398.90109
6,F,1349.04,3193.482564,0.422435374,1.204596581,0,0,1,3,103,14398.90109
6,G,14993.44,13900.9026,1.078594709,2.201694983,0,1,4,7,2,14398.90109
7,A,903.76,1692.284159,0.534047427,1.177077782,0,0,1,3,0,14399.99063
7,B,9644.8,13961.5056,0.690813747,1.898732315,1,0,3,0,1,14399.99063
7,C,6033.28,12958.90776,0.465570101,1.672762619,0,0,7,28,15,14399.99063
7,D,126.72,260.9449377,0.485619691,1.20538848,0,0,0,2,7,14399.99063
7,E,0,0,NA,#NAME?,0,0,0,0,0,14399.99063
7,F,3749.68,7811.980387,0.479990964,1.491568435,0,0,2,24,62,14399.99063
7,G,10554.72,14048.64105,0.75129829,2.96249515,0,1,7,1,4,14399.99063
8,A,36.08,240.0331678,0.15031256,0.47655044,0,0,0,0,8,14399.99349
8,B,8991.84,14269.27378,0.630154003,1.430689625,1,0,2,2,1,14399.99349
8,C,6030.64,12384.26407,0.486959901,1.338691813,0,0,2,53,26,14399.99349
8,D,66,96.14864063,0.686437162,1.360901804,0,0,0,0,5,14399.99349
8,E,1194.16,3811.054647,0.313341086,1.236036779,0,0,0,18,23,14399.99349
8,F,610.72,913.682173,0.668416237,1.753313313,0,0,0,5,12,14399.99349
8,G,11088.88,13586.74264,0.816154416,1.972646616,0,1,4,0,1,14399.99349
9,A,0,0,NA,#NAME?,0,0,0,0,0,14358.02017
9,B,357.28,507.2868254,0.704295838,1.360569207,0,0,0,2,5,14358.02017
9,C,6.16,35.80899119,0.172023835,0.389157526,0,0,0,0,1,14358.02017
9,D,0,0,NA,#NAME?,0,0,0,0,0,14358.02017
9,E,2211.44,6680.487799,0.331029719,1.307226326,0,0,3,10,39,14358.02017
9,F,103.84,352.6110439,0.294488791,2.212128643,0,0,0,2,7,14358.02017
9,G,11.44,21.33569884,0.536190545,1.100984094,0,0,0,0,2,14358.02017
10,A,0,0,NA,#NAME?,0,0,0,0,0,14399.93318
10,B,6603.52,12150.12372,0.543494054,1.154470459,0,1,3,2,0,14399.93318
10,C,161.92,546.2710052,0.296409655,1.202852808,0,0,0,3,2,14399.93318
10,D,9.68,19.30385399,0.501454269,1.027073973,0,0,0,0,1,14399.93318
10,E,4.4,10.46324301,0.420519718,0.487120627,0,0,0,0,1,14399.93318
10,F,339.68,1125.870908,0.301704216,1.047718776,0,0,0,7,14,14399.93318
10,G,2.64,4.379168034,0.602854236,0.50170323,0,0,0,0,1,14399.93318
11,A,0,0,NA,#NAME?,0,0,0,0,0,11203.84677
11,B,435.6,1120.015294,0.38892326,1.250085525,0,0,0,5,22,11203.84677
11,C,249.04,904.6940269,0.275275389,1.125970476,0,0,0,4,8,11203.84677
11,D,96.8,222.6174669,0.434826617,1.108614066,0,0,0,2,3,11203.84677
11,E,30.8,90.87823224,0.338915043,1.015789657,0,0,0,0,3,11203.84677
11,F,471.68,984.6777294,0.479019669,1.488842926,0,0,0,4,9,11203.84677
11,G,5.28,6.437180996,0.820234821,0.879133297,0,0,0,0,1,11203.84677
12,A,271.92,789.3350861,0.344492478,1.10584859,0,0,0,2,15,13955.3858
12,B,1942.16,5344.642211,0.363384474,2.007427955,0,0,0,31,52,13955.3858
12,C,0,0,NA,#NAME?,0,0,0,0,0,13955.3858
12,D,0,0,NA,#NAME?,0,0,0,0,0,13955.3858
12,E,2.64,6.460471869,0.408638882,0.578393327,0,0,0,0,1,13955.3858
12,F,703.12,1448.636178,0.485366865,1.108875183,0,0,1,3,0,13955.3858
12,G,0,0,NA,#NAME?,0,0,0,0,0,13955.3858
13,A,110.88,227.3548181,0.487695844,1.527319506,0,0,0,1,2,14399.98794
13,B,1307.68,1927.158274,0.678553504,1.369858382,0,0,0,12,4,14399.98794
13,C,986.48,2984.559224,0.330527869,1.332352272,0,0,0,10,8,14399.98794
13,D,7.04,33.71424603,0.208813805,0.299952282,0,0,0,0,1,14399.98794
13,E,463.76,1144.652455,0.405153545,1.242922045,0,0,0,8,11,14399.98794
13,F,0,0,NA,#NAME?,0,0,0,0,0,14399.98794
13,G,321.2,983.6934676,0.326524482,0.8687479,0,0,0,4,4,14399.98794
14,A,1529.44,2749.483619,0.556264452,1.658252957,0,0,0,14,45,14399.98205
14,B,743.6,1628.624677,0.456581563,1.094971368,0,0,0,10,15,14399.98205
14,C,4547.84,10578.5648,0.42991087,1.362130259,0,0,3,32,41,14399.98205
14,D,174.24,468.65219,0.371789578,1.22197777,0,0,0,2,6,14399.98205
14,E,138.16,260.4454968,0.530475672,1.05912695,0,0,0,2,3,14399.98205
14,F,170.72,422.9469657,0.403643988,1.593744314,0,0,0,0,21,14399.98205
14,G,28.16,72.54440904,0.38817602,0.958955605,0,0,0,1,0,14399.98205
15,A,713.68,1177.864231,0.605910241,1.813610488,0,0,1,3,0,14399.99573
15,B,3297.36,7192.872326,0.458420482,1.731459004,0,0,1,32,41,14399.99573
15,C,411.84,467.1505249,0.881600208,1.474271467,0,0,0,2,1,14399.99573
15,D,3136.32,8646.746558,0.362716772,1.422275162,0,0,2,39,30,14399.99573
15,E,237.6,387.3842468,0.613344507,1.676136128,0,0,0,2,6,14399.99573
15,F,4894.56,11966.66313,0.409016277,1.212779446,0,0,1,46,14,14399.99573
15,G,982.96,1252.187456,0.784994287,1.664497921,0,0,0,4,3,14399.99573
16,A,12162.48,13751.04628,0.884476697,1.915409064,1,0,3,1,1,14394.37635
16,B,8772.72,11438.28678,0.766961011,1.932380344,0,1,4,2,5,14394.37635
16,C,512.16,857.1920519,0.597485708,1.268437257,0,0,1,0,1,14394.37635
16,D,465.52,621.5160136,0.74900725,1.789854348,0,0,0,4,6,14394.37635
16,E,5733.2,8555.578689,0.670112474,1.725135378,0,0,1,34,12,14394.37635
16,F,286.88,740.9569471,0.387174992,0.881996861,0,0,0,4,1,14394.37635
16,G,0,0,NA,#NAME?,0,0,0,0,0,14394.37635
17,A,3109.04,6779.69348,0.458581204,1.253971979,0,0,4,11,7,14399.99762
17,B,3864.08,12281.06768,0.314637139,2.276943888,0,0,6,24,21,14399.99762
17,C,520.08,1287.047439,0.404087669,1.282998842,0,0,1,2,10,14399.99762
17,D,33.44,80.21556091,0.416876721,0.644105424,0,0,0,1,0,14399.99762
17,E,256.96,376.261776,0.682928792,1.439810012,0,0,0,2,0,14399.99762
17,F,7139.44,13193.14177,0.541147827,1.725006377,0,0,7,7,15,14399.99762
17,G,0,0,NA,#NAME?,0,0,0,0,0,14399.99762
18,A,7678,12470.92826,0.615671892,1.720006394,0,1,6,7,0,14399.99413
18,B,5789.52,9402.637356,0.615733627,2.59428659,0,0,7,13,4,14399.99413
18,C,1818.08,4239.920854,0.428800457,1.477928507,0,0,1,12,10,14399.99413
18,D,4257.44,8449.595803,0.503863155,1.766330366,0,0,3,32,33,14399.99413
18,E,26.4,70.66178823,0.373610698,1.476564518,0,0,0,0,5,14399.99413
18,F,10.56,40.50226712,0.260726146,0.775058024,0,0,0,0,2,14399.99413
18,G,3004.32,3156.97191,0.951646098,2.411366794,0,0,1,9,4,14399.99413
19,A,965.36,985.7422831,0.979322909,1.877902603,0,0,1,1,1,14399.99859
19,B,1181.84,2042.642221,0.578583948,2.966888671,0,0,0,10,3,14399.99859
19,C,8162.88,12036.10828,0.678199283,1.981420175,0,0,8,11,7,14399.99859
19,D,6142.4,7106.012681,0.864394742,1.957109682,0,0,4,8,2,14399.99859
19,E,0,0,NA,#NAME?,0,0,0,0,0,14399.99859
19,F,528.88,1242.993427,0.425488976,1.213754945,0,0,1,2,2,14399.99859
19,G,1817.2,4284.439457,0.424139498,1.27610387,0,0,3,8,6,14399.99859
20,A,679.36,1194.607606,0.568688828,1.218318583,0,0,0,5,2,14399.98326
20,B,4560.16,10593.86274,0.430453,2.966159088,0,0,4,29,21,14399.98326
20,C,9049.04,12380.02138,0.730938964,1.945585372,0,0,5,11,11,14399.98326
20,D,4.4,29.36474681,0.149839535,0.421119712,0,0,0,0,1,14399.98326
20,E,1253.12,2788.749637,0.449348333,1.174244515,0,0,1,6,16,14399.98326
20,F,1632.4,2300.383807,0.709620714,1.340793094,0,0,2,1,0,14399.98326
20,G,1922.8,2175.387049,0.883888686,1.862186399,0,0,1,3,1,14399.98326
21,A,7546,12765.38038,0.591130054,1.732181383,0,0,6,25,9,14399.97884
21,B,51.04,142.2795596,0.358730377,2.066300721,0,0,0,0,9,14399.97884
