"Family","ID","Sex","oTreatment","Size","Activity","Block","tstart","Lifespan","Censored","timegroup"
"xBF","xBF8","F","A","4.263333333","Flight","G",0,4,0,1
"xBF","xBF8","F","A","4.263333333","Flight","G",4,7,0,2
"xBF","xBF8","F","A","4.263333333","Flight","G",7,8,0,3
"xBF","xBF8","F","A","4.263333333","Flight","G",8,9,0,4
"xBF","xBF8","F","A","4.263333333","Flight","G",9,10,0,5
"xI","xI12","M","B","5.44","Flight","C",0,4,0,1
"xI","xI12","M","B","5.44","Flight","C",4,7,0,2
"xI","xI12","M","B","5.44","Flight","C",7,8,0,3
"xI","xI12","M","B","5.44","Flight","C",8,9,0,4
"xI","xI12","M","B","5.44","Flight","C",9,10,0,5
"xI","xI12","M","B","5.44","Flight","C",10,11,0,6
"xI","xI12","M","B","5.44","Flight","C",11,12,0,7
"xI","xI12","M","B","5.44","Flight","C",12,13,0,8
"xI","xI12","M","B","5.44","Flight","C",13,16,0,9
"xI","xI12","M","B","5.44","Flight","C",16,17,0,10
"xI","xI12","M","B","5.44","Flight","C",17,20,0,11
"xI","xI12","M","B","5.44","Flight","C",20,21,0,12
"xI","xI12","M","B","5.44","Flight","C",21,24,0,13
"xI","xI12","M","B","5.44","Flight","C",24,26,0,14
"xI","xI12","M","B","5.44","Flight","C",26,27,0,15
"xI","xI12","M","B","5.44","Flight","C",27,28,0,16
"xI","xI12","M","B","5.44","Flight","C",28,31,0,17
"xI","xI12","M","B","5.44","Flight","C",31,36,0,18
"xI","xI12","M","B","5.44","Flight","C",36,39,0,19
"xI","xI12","M","B","5.44","Flight","C",39,40,0,20
"xI","xI12","M","B","5.44","Flight","C",40,43,0,21
"xI","xI12","M","B","5.44","Flight","C",43,44,0,22
"xI","xI12","M","B","5.44","Flight","C",44,45,0,23
"xI","xI12","M","B","5.44","Flight","C",45,46,0,24
"xI","xI12","M","B","5.44","Flight","C",46,47,0,25
"xI","xI12","M","B","5.44","Flight","C",47,48,0,26
"xI","xI12","M","B","5.44","Flight","C",48,49,0,27
"xI","xI12","M","B","5.44","Flight","C",49,51,0,28
"xI","xI12","M","B","5.44","Flight","C",51,52,0,29
"xI","xI12","M","B","5.44","Flight","C",52,53,0,30
"xI","xI12","M","B","5.44","Flight","C",53,54,0,31
"xI","xI12","M","B","5.44","Flight","C",54,55,0,32
"xI","xI12","M","B","5.44","Flight","C",55,56,0,33
"xI","xI12","M","B","5.44","Flight","C",56,57,0,34
"xI","xI12","M","B","5.44","Flight","C",57,58,0,35
"xI","xI12","M","B","5.44","Flight","C",58,59,0,36
"xI","xI12","M","B","5.44","Flight","C",59,60,0,37
"xI","xI12","M","B","5.44","Flight","C",60,61,0,38
"xI","xI12","M","B","5.44","Flight","C",61,62,0,39
"xI","xI12","M","B","5.44","Flight","C",62,63,0,40
"xI","xI12","M","B","5.44","Flight","C",63,64,0,41
"xI","xI12","M","B","5.44","Flight","C",64,65,0,42
"xI","xI12","M","B","5.44","Flight","C",65,66,0,43
"xI","xI12","M","B","5.44","Flight","C",66,67,0,44
"xI","xI12","M","B","5.44","Flight","C",67,68,0,45
"xI","xI12","M","B","5.44","Flight","C",68,69,0,46
"xI","xI12","M","B","5.44","Flight","C",69,70,0,47
"xI","xI12","M","B","5.44","Flight","C",70,71,0,48
"xI","xI12","M","B","5.44","Flight","C",71,72,0,49
"xI","xI12","M","B","5.44","Flight","C",72,73,0,50
"xI","xI12","M","B","5.44","Flight","C",73,74,0,51
"xI","xI12","M","B","5.44","Flight","C",74,75,0,52
"xI","xI12","M","B","5.44","Flight","C",75,76,0,53
"xI","xI12","M","B","5.44","Flight","C",76,77,0,54
"xI","xI12","M","B","5.44","Flight","C",77,78,0,55
"xI","xI12","M","B","5.44","Flight","C",78,79,0,56
"xI","xI12","M","B","5.44","Flight","C",79,80,0,57
"xI","xI12","M","B","5.44","Flight","C",80,82,0,58
"xI","xI12","M","B","5.44","Flight","C",82,83,0,59
"xI","xI12","M","B","5.44","Flight","C",83,84,0,60
"xI","xI12","M","B","5.44","Flight","C",84,85,0,61
"xI","xI12","M","B","5.44","Flight","C",85,86,0,62
"xI","xI12","M","B","5.44","Flight","C",86,87,0,63
"xI","xI12","M","B","5.44","Flight","C",87,89,0,64
"xI","xI12","M","B","5.44","Flight","C",89,90,0,65
"xI","xI12","M","B","5.44","Flight","C",90,91,0,66
"xI","xI12","M","B","5.44","Flight","C",91,92,0,67
"xI","xI12","M","B","5.44","Flight","C",92,93,0,68
"xI","xI12","M","B","5.44","Flight","C",93,94,0,69
"xI","xI12","M","B","5.44","Flight","C",94,95,0,70
"xI","xI12","M","B","5.44","Flight","C",95,96,0,71
"xI","xI12","M","B","5.44","Flight","C",96,97,0,72
"xI","xI12","M","B","5.44","Flight","C",97,98,0,73
"xI","xI12","M","B","5.44","Flight","C",98,99,0,74
"xI","xI12","M","B","5.44","Flight","C",99,100,0,75
"xI","xI12","M","B","5.44","Flight","C",100,102,0,76
"xI","xI12","M","B","5.44","Flight","C",102,103,0,77
"xI","xI12","M","B","5.44","Flight","C",103,105,0,78
"xI","xI12","M","B","5.44","Flight","C",105,106,0,79
"xI","xI12","M","B","5.44","Flight","C",106,107,0,80
"xI","xI12","M","B","5.44","Flight","C",107,108,0,81
"xI","xI12","M","B","5.44","Flight","C",108,109,0,82
"xI","xI12","M","B","5.44","Flight","C",109,110,0,83
"xI","xI12","M","B","5.44","Flight","C",110,111,0,84
"xI","xI12","M","B","5.44","Flight","C",111,112,0,85
"xI","xI12","M","B","5.44","Flight","C",112,114,0,86
"xI","xI12","M","B","5.44","Flight","C",114,115,0,87
"xI","xI12","M","B","5.44","Flight","C",115,117,0,88
"xI","xI12","M","B","5.44","Flight","C",117,118,0,89
"xI","xI12","M","B","5.44","Flight","C",118,119,0,90
"xI","xI12","M","B","5.44","Flight","C",119,120,0,91
"xI","xI12","M","B","5.44","Flight","C",120,121,0,92
"xI","xI12","M","B","5.44","Flight","C",121,122,0,93
"xI","xI12","M","B","5.44","Flight","C",122,123,0,94
"xI","xI12","M","B","5.44","Flight","C",123,124,0,95
"xI","xI12","M","B","5.44","Flight","C",124,125,0,96
"xI","xI12","M","B","5.44","Flight","C",125,126,0,97
"xI","xI12","M","B","5.44","Flight","C",126,128,0,98
"xI","xI12","M","B","5.44","Flight","C",128,129,0,99
"xI","xI12","M","B","5.44","Flight","C",129,130,0,100
"xI","xI12","M","B","5.44","Flight","C",130,131,0,101
"xI","xI12","M","B","5.44","Flight","C",131,133,0,102
"xI","xI12","M","B","5.44","Flight","C",133,135,0,103
"xI","xI12","M","B","5.44","Flight","C",135,136,0,104
"xI","xI12","M","B","5.44","Flight","C",136,137,0,105
"xI","xI12","M","B","5.44","Flight","C",137,138,0,106
"xI","xI12","M","B","5.44","Flight","C",138,139,0,107
"xI","xI12","M","B","5.44","Flight","C",139,140,0,108
"xI","xI12","M","B","5.44","Flight","C",140,141,0,109
"xI","xI12","M","B","5.44","Flight","C",141,142,0,110
"xI","xI12","M","B","5.44","Flight","C",142,143,0,111
"xI","xI12","M","B","5.44","Flight","C",143,144,0,112
"xI","xI12","M","B","5.44","Flight","C",144,146,0,113
"xI","xI12","M","B","5.44","Flight","C",146,149,0,114
"xI","xI12","M","B","5.44","Flight","C",149,153,0,115
"xI","xI12","M","B","5.44","Flight","C",153,155,0,116
"xI","xI12","M","B","5.44","Flight","C",155,157,0,117
"xI","xI12","M","B","5.44","Flight","C",157,159,0,118
"xI","xI12","M","B","5.44","Flight","C",159,160,0,119
"xI","xI12","M","B","5.44","Flight","C",160,169,0,120
"xI","xI12","M","B","5.44","Flight","C",169,170,0,121
"xI","xI12","M","B","5.44","Flight","C",170,171,1,122
"xE","xE5","M","B","5.733333333","Flight","B",0,4,0,1
"xE","xE5","M","B","5.733333333","Flight","B",4,7,0,2
"xE","xE5","M","B","5.733333333","Flight","B",7,8,0,3
"xE","xE5","M","B","5.733333333","Flight","B",8,9,0,4
"xE","xE5","M","B","5.733333333","Flight","B",9,10,0,5
"xE","xE5","M","B","5.733333333","Flight","B",10,11,0,6
"xE","xE5","M","B","5.733333333","Flight","B",11,12,0,7
"xE","xE5","M","B","5.733333333","Flight","B",12,13,0,8
"xE","xE5","M","B","5.733333333","Flight","B",13,16,0,9
"xE","xE5","M","B","5.733333333","Flight","B",16,17,0,10
"xE","xE5","M","B","5.733333333","Flight","B",17,20,0,11
"xE","xE5","M","B","5.733333333","Flight","B",20,21,0,12
"xE","xE5","M","B","5.733333333","Flight","B",21,24,0,13
"xE","xE5","M","B","5.733333333","Flight","B",24,26,0,14
"xE","xE5","M","B","5.733333333","Flight","B",26,27,0,15
"xE","xE5","M","B","5.733333333","Flight","B",27,28,0,16
"xE","xE5","M","B","5.733333333","Flight","B",28,31,0,17
"xE","xE5","M","B","5.733333333","Flight","B",31,36,0,18
"xE","xE5","M","B","5.733333333","Flight","B",36,39,0,19
"xE","xE5","M","B","5.733333333","Flight","B",39,40,0,20
"xE","xE5","M","B","5.733333333","Flight","B",40,43,0,21
"xE","xE5","M","B","5.733333333","Flight","B",43,44,0,22
"xE","xE5","M","B","5.733333333","Flight","B",44,45,0,23
"xE","xE5","M","B","5.733333333","Flight","B",45,46,0,24
"xE","xE5","M","B","5.733333333","Flight","B",46,47,0,25
"xE","xE5","M","B","5.733333333","Flight","B",47,48,0,26
"xE","xE5","M","B","5.733333333","Flight","B",48,49,0,27
"xE","xE5","M","B","5.733333333","Flight","B",49,51,0,28
"xE","xE5","M","B","5.733333333","Flight","B",51,52,0,29
"xE","xE5","M","B","5.733333333","Flight","B",52,53,0,30
"xE","xE5","M","B","5.733333333","Flight","B",53,54,0,31
"xE","xE5","M","B","5.733333333","Flight","B",54,55,0,32
"xE","xE5","M","B","5.733333333","Flight","B",55,56,0,33
"xE","xE5","M","B","5.733333333","Flight","B",56,57,0,34
"xE","xE5","M","B","5.733333333","Flight","B",57,58,0,35
"xE","xE5","M","B","5.733333333","Flight","B",58,59,0,36
"xE","xE5","M","B","5.733333333","Flight","B",59,60,0,37
"xE","xE5","M","B","5.733333333","Flight","B",60,61,0,38
"xE","xE5","M","B","5.733333333","Flight","B",61,62,0,39
